object,color,count_base,count_pattern,p_base,p_pattern,binding_strength,binding_gap,p_obj,p_color,p_joint,pmi,ppmi,npmi,binding_score,category
banana,red,5,1,0.013850415512465374,0.002770083102493075,0.2,0.0110803324099723,0.0006016937428850965,0.016022387674112,1.6667416700418185e-06,-1.755109653212944,0.0,-0.13191711027332467,0.0,under
banana,green,7,2,0.019390581717451522,0.00554016620498615,0.28571428571428575,0.013850415512465374,0.0006016937428850965,0.011595521798480932,3.333483340083637e-06,-0.7385944705108239,0.0,-0.05856519010067567,0.0,under
banana,pink,1,1,0.002770083102493075,0.002770083102493075,1.0,0.0,0.0006016937428850965,0.007897022032658137,1.6667416700418185e-06,-1.0476084098658587,0.0,-0.07874007978621127,0.0,under
banana,orange,3,1,0.008310249307479225,0.002770083102493075,0.3333333333333333,0.0055401662049861505,0.0006016937428850965,0.004475201384062283,1.6667416700418185e-06,-0.4796740320900929,0.0,-0.036053138942425816,0.0,under
banana,purple,0,0,0.0,0.0,0,0.0,0.0006016937428850965,0.003536825823828739,0.0,-5.074376067040501,0.0,-1.0,0.0,never
banana,white,12,0,0.0332409972299169,0.0,0.0,0.0332409972299169,0.0006016937428850965,0.026127842419575546,0.0,-5.074376067040501,0.0,-1.0,0.0,never
banana,black,9,0,0.024930747922437674,0.0,0.0,0.024930747922437674,0.0006016937428850965,0.031599755322322835,0.0,-5.074376067040501,0.0,-1.0,0.0,never
banana,brown,4,0,0.0110803324099723,0.0,0.0,0.0110803324099723,0.0006016937428850965,0.006370286662899831,0.0,-5.074376067040501,0.0,-1.0,0.0,never
apple,blue,50,1,0.021949078138718173,0.0004389815627743635,0.02,0.02151009657594381,0.0037968375243552627,0.01797247542806093,1.6667416700418185e-06,-3.712139309703447,0.0,-0.27901088104190336,0.0,under
apple,yellow,9,0,0.003950834064969272,0.0,0.0,0.003950834064969272,0.0037968375243552627,0.0064769581297825065,0.0,-5.074376067040501,0.0,-1.0,0.0,never
apple,red,77,29,0.033801580333625986,0.012730465320456541,0.37662337662337664,0.021071115013169446,0.0037968375243552627,0.016022387674112,4.833550843121274e-05,-0.22998900890071658,0.0,-0.02314391114087241,0.0,under
apple,green,110,44,0.048287971905179985,0.019315188762071993,0.39999999999999997,0.028972783143107993,0.0037968375243552627,0.011595521798480932,7.333663348184001e-05,0.5102727971732454,0.5102727971732454,0.05359754855424286,3.7421689102047586e-05,positive
apple,pink,35,1,0.015364354697102721,0.0004389815627743635,0.028571428571428574,0.014925373134328358,0.0037968375243552627,0.007897022032658137,1.6667416700418185e-06,-2.889783595540105,0.0,-0.21720118770986957,0.0,under
apple,orange,15,1,0.006584723441615452,0.0004389815627743635,0.06666666666666667,0.006145741878841089,0.0037968375243552627,0.004475201384062283,1.6667416700418185e-06,-2.3218492177643393,0.0,-0.1745142468660841,0.0,under
apple,purple,5,1,0.0021949078138718174,0.0004389815627743635,0.19999999999999998,0.001755926251097454,0.0037968375243552627,0.003536825823828739,1.6667416700418185e-06,-2.086527529995303,0.0,-0.15682705736296396,0.0,under
apple,white,74,6,0.0324846356453029,0.0026338893766461808,0.08108108108108107,0.02985074626865672,0.0037968375243552627,0.026127842419575546,1.0000450020250911e-05,-2.2945399009128415,0.0,-0.19930198251394546,0.0,under
apple,black,102,4,0.04477611940298507,0.001755926251097454,0.0392156862745098,0.04302019315188762,0.0037968375243552627,0.031599755322322835,6.666966680167274e-06,-2.8901528815035222,0.0,-0.24249614713953613,0.0,under
apple,brown,19,0,0.008340649692712906,0.0,0.0,0.008340649692712906,0.0037968375243552627,0.006370286662899831,0.0,-5.074376067040501,0.0,-1.0,0.0,never
dog,blue,76,8,0.02474763920547053,0.0026050146532074245,0.10526315789473685,0.022142624552263106,0.005118563668698424,0.01797247542806093,1.3333933360334548e-05,-1.9314031444573057,0.0,-0.17205959993711953,0.0,under
dog,yellow,30,7,0.00976880494952784,0.0022793878215564964,0.23333333333333336,0.007489417127971344,0.005118563668698424,0.0064769581297825065,1.166719169029273e-05,-1.0443440681371412,0.0,-0.09194197661046748,0.0,under
dog,red,79,10,0.025724519700423314,0.0032562683165092803,0.12658227848101267,0.022468251383914034,0.005118563668698424,0.016022387674112,1.6667416700418184e-05,-1.5934051223268397,0.0,-0.14482795672913362,0.0,under
dog,green,36,1,0.011722565939433409,0.00032562683165092806,0.02777777777777778,0.011396939107782481,0.005118563668698424,0.011595521798480932,1.6667416700418185e-06,-3.5726222131787106,0.0,-0.26852453212713573,0.0,under
dog,pink,49,2,0.015955714750895474,0.0006512536633018561,0.04081632653061225,0.015304461087593618,0.005118563668698424,0.007897022032658137,3.333483340083637e-06,-2.4953417914138547,0.0,-0.1978625243149195,0.0,under
dog,orange,17,3,0.005535656138065777,0.0009768804949527841,0.17647058823529413,0.004558775643112993,0.005118563668698424,0.004475201384062283,5.000225010125456e-06,-1.5219423055299246,0.0,-0.12468776491863079,0.0,under
dog,purple,14,2,0.004558775643112993,0.0006512536633018561,0.14285714285714285,0.0039075219798111365,0.005118563668698424,0.003536825823828739,3.333483340083637e-06,-1.6920857258690525,0.0,-0.13417013822703483,0.0,under
dog,white,99,17,0.03223705633344188,0.005535656138065777,0.1717171717171717,0.0267014001953761,0.005118563668698424,0.026127842419575546,2.8334608390710915e-05,-1.5517914025183752,0.0,-0.14819293143202675,0.0,under
dog,black,101,17,0.032888309996743734,0.005535656138065777,0.1683168316831683,0.027352653858677956,0.005118563668698424,0.031599755322322835,2.8334608390710915e-05,-1.7419392750008915,0.0,-0.16635166757595485,0.0,under
dog,brown,42,7,0.013676326929338978,0.0022793878215564964,0.16666666666666666,0.011396939107782483,0.005118563668698424,0.006370286662899831,1.166719169029273e-05,-1.027737562999974,0.0,-0.0904799728959,0.0,under
chair,blue,71,2,0.029086439983613273,0.0008193363375665711,0.028169014084507043,0.0282671036460467,0.004068516416572079,0.01797247542806093,3.333483340083637e-06,-3.088102055529334,0.0,-0.24486411847529851,0.0,under
chair,yellow,12,1,0.004916018025399427,0.00040966816878328555,0.08333333333333333,0.0045063498566161415,0.004068516416572079,0.0064769581297825065,1.6667416700418185e-06,-2.7606587671445926,0.0,-0.20749593983815254,0.0,under
chair,red,42,3,0.017206063088897994,0.0012290045063498567,0.07142857142857142,0.015977058582548137,0.004068516416572079,0.016022387674112,5.000225010125456e-06,-2.5677824766049135,0.0,-0.2103700361319628,0.0,under
